conflict_id,location,side_a,side_a_id,side_a_2nd,side_b,side_b_id,side_b_2nd,incompatibility,territory_name,year,intensity_level,cumulative_intensity,type_of_conflict,start_date,start_prec,start_date2,start_prec2,ep_end,ep_end_date,ep_end_prec,gwno_a,gwno_a_2nd,gwno_b,gwno_b_2nd,gwno_loc,region,version
234,Israel,Government of Israel,121,,Palestinian insurgents,202,,1,Palestine,1949,1,0,3,1948-05-15,1,1949-12-31,5,0,,,666,,,,666,2,25.1
234,Israel,Government of Israel,121,,Palestinian insurgents,202,,1,Palestine,1950,1,0,3,1948-05-15,1,1949-12-31,5,0,,,666,,,,666,2,25.1
234,Israel,Government of Israel,121,,Palestinian insurgents,202,,1,Palestine,1951,1,0,3,1948-05-15,1,1949-12-31,5,0,,,666,,,,666,2,25.1
234,Israel,Government of Israel,121,,Palestinian insurgents,202,,1,Palestine,1952,1,0,3,1948-05-15,1,1949-12-31,5,0,,,666,,,,666,2,25.1
234,Israel,Government of Israel,121,,Palestinian insurgents,202,,1,Palestine,1953,1,0,3,1948-05-15,1,1949-12-31,5,0,,,666,,,,666,2,25.1
234,Israel,Government of Israel,121,,Palestinian insurgents,202,,1,Palestine,1954,1,0,3,1948-05-15,1,1949-12-31,5,0,,,666,,,,666,2,25.1
234,Israel,Government of Israel,121,,Palestinian insurgents,202,,1,Palestine,1955,1,1,3,1948-05-15,1,1949-12-31,5,0,,,666,,,,666,2,25.1
234,Israel,Government of Israel,121,,Palestinian insurgents,202,,1,Palestine,1956,1,1,3,1948-05-15,1,1949-12-31,5,0,,,666,,,,666,2,25.1
234,Israel,Government of Israel,121,,Palestinian insurgents,202,,1,Palestine,1957,1,1,3,1948-05-15,1,1949-12-31,5,0,,,666,,,,666,2,25.1
234,Israel,Government of Israel,121,,Palestinian insurgents,202,,1,Palestine,1958,1,1,3,1948-05-15,1,1949-12-31,5,0,,,666,,,,666,2,25.1
234,Israel,Government of Israel,121,,Palestinian insurgents,202,,1,Palestine,1959,1,1,3,1948-05-15,1,1949-12-31,5,0,,,666,,,,666,2,25.1
234,Israel,Government of Israel,121,,Palestinian insurgents,202,,1,Palestine,1960,1,1,3,1948-05-15,1,1949-12-31,5,0,,,666,,,,666,2,25.1
234,Israel,Government of Israel,121,,Palestinian insurgents,202,,1,Palestine,1961,1,1,3,1948-05-15,1,1949-12-31,5,0,,,666,,,,666,2,25.1
234,Israel,Government of Israel,121,,Palestinian insurgents,202,,1,Palestine,1962,1,1,3,1948-05-15,1,1949-12-31,5,0,,,666,,,,666,2,25.1
234,Israel,Government of Israel,121,,Palestinian insurgents,202,,1,Palestine,1963,1,1,3,1948-05-15,1,1949-12-31,5,0,,,666,,,,666,2,25.1
234,Israel,Government of Israel,121,,Palestinian insurgents,202,,1,Palestine,1964,1,1,3,1948-05-15,1,1949-12-31,5,0,,,666,,,,666,2,25.1
234,Israel,Government of Israel,121,,"Non PLO groups, PLO","203, 204",,1,Palestine,1965,1,1,3,1948-05-15,1,1949-12-31,5,0,,,666,,,,666,2,25.1
234,Israel,Government of Israel,121,,"Non PLO groups, PLO","203, 204",,1,Palestine,1966,1,1,3,1948-05-15,1,1949-12-31,5,0,,,666,,,,666,2,25.1
234,Israel,Government of Israel,121,,"Non PLO groups, PLO","203, 204",,1,Palestine,1967,1,1,3,1948-05-15,1,1949-12-31,5,0,,,666,,,,666,2,25.1
234,Israel,Government of Israel,121,,"Non PLO groups, PLO","203, 204",,1,Palestine,1968,1,1,3,1948-05-15,1,1949-12-31,5,0,,,666,,,,666,2,25.1
234,Israel,Government of Israel,121,,"Non PLO groups, PLO","203, 204",,1,Palestine,1969,1,1,3,1948-05-15,1,1949-12-31,5,0,,,666,,,,666,2,25.1
234,Israel,Government of Israel,121,,"Non PLO groups, PLO","203, 204",,1,Palestine,1970,1,1,3,1948-05-15,1,1949-12-31,5,0,,,666,,,,666,2,25.1
234,Israel,Government of Israel,121,,"Non PLO groups, PLO","203, 204",,1,Palestine,1971,1,1,3,1948-05-15,1,1949-12-31,5,0,,,666,,,,666,2,25.1
234,Israel,Government of Israel,121,,"Non PLO groups, PLO","203, 204",,1,Palestine,1972,1,1,3,1948-05-15,1,1949-12-31,5,0,,,666,,,,666,2,25.1
234,Israel,Government of Israel,121,,"Non PLO groups, PLO","203, 204",,1,Palestine,1973,1,1,3,1948-05-15,1,1949-12-31,5,0,,,666,,,,666,2,25.1
234,Israel,Government of Israel,121,,"PLO, Rejectionist Front","1067, 204",,1,Palestine,1974,1,1,3,1948-05-15,1,1949-12-31,5,0,,,666,,,,666,2,25.1
234,Israel,Government of Israel,121,,"PLO, Rejectionist Front","1067, 204",,1,Palestine,1975,1,1,3,1948-05-15,1,1949-12-31,5,0,,,666,,,,666,2,25.1
234,Israel,Government of Israel,121,,"PLO, Rejectionist Front","1067, 204",,1,Palestine,1976,1,1,3,1948-05-15,1,1949-12-31,5,0,,,666,,,,666,2,25.1
234,Israel,Government of Israel,121,,"PLO, Rejectionist Front","1067, 204",,1,Palestine,1977,1,1,3,1948-05-15,1,1949-12-31,5,0,,,666,,,,666,2,25.1
234,Israel,Government of Israel,121,,"PLO, Rejectionist Front","1067, 204",,1,Palestine,1978,1,1,3,1948-05-15,1,1949-12-31,5,0,,,666,,,,666,2,25.1
234,Israel,Government of Israel,121,,"PLO, Rejectionist Front","1067, 204",,1,Palestine,1979,1,1,3,1948-05-15,1,1949-12-31,5,0,,,666,,,,666,2,25.1
234,Israel,Government of Israel,121,,"PLO, Rejectionist Front","1067, 204",,1,Palestine,1980,1,1,3,1948-05-15,1,1949-12-31,5,0,,,666,,,,666,2,25.1
234,Israel,Government of Israel,121,,"PLO, Rejectionist Front","1067, 204",,1,Palestine,1981,1,1,3,1948-05-15,1,1949-12-31,5,0,,,666,,,,666,2,25.1
234,Israel,Government of Israel,121,,"PLO, Rejectionist Front","1067, 204",Government of Syria,1,Palestine,1982,2,1,4,1948-05-15,1,1949-12-31,5,0,,,666,,,652,666,2,25.1
234,Israel,Government of Israel,121,,"PLO, Rejectionist Front","1067, 204",,1,Palestine,1983,1,1,3,1948-05-15,1,1949-12-31,5,0,,,666,,,,666,2,25.1
234,Israel,Government of Israel,121,,"PLO, Rejectionist Front","1067, 204",,1,Palestine,1984,1,1,3,1948-05-15,1,1949-12-31,5,0,,,666,,,,666,2,25.1
234,Israel,Government of Israel,121,,"PLO, Rejectionist Front","1067, 204",,1,Palestine,1985,1,1,3,1948-05-15,1,1949-12-31,5,0,,,666,,,,666,2,25.1
234,Israel,Government of Israel,121,,"PLO, Rejectionist Front","1067, 204",,1,Palestine,1986,1,1,3,1948-05-15,1,1949-12-31,5,0,,,666,,,,666,2,25.1
234,Israel,Government of Israel,121,,"PLO, Rejectionist Front","1067, 204",,1,Palestine,1987,1,1,3,1948-05-15,1,1949-12-31,5,0,,,666,,,,666,2,25.1
234,Israel,Government of Israel,121,,"PLO, Rejectionist Front","1067, 204",,1,Palestine,1988,1,1,3,1948-05-15,1,1949-12-31,5,0,,,666,,,,666,2,25.1
